spdb1017	12月18日
spdb1018	12月18日，保定银行业公众教育服务区正式启用，标志着公众教育服务工作迈上常态化、规范化、立体化新台阶。
spdb1019	保定银行业公众教育服务区分为自助示范区、接待咨询区和户外宣传区，常年有工作人员提供咨询、讲解服务，向社会公众介绍金融产品、服务、监管等方面的基础知识，进行风险提示，指导公众识别和防范风险的基本方法，提高公众以法律维护自身合法权益的意识
spdb1020	银行业公众教育服务区分示范区宣传区工作人员咨询服务社会公众金融产品服务监管方面基础知识风险公众识别风险方法公众法律权益意识
spdb1027	['yes', '是']
spdb1028	10项45项
spdb1029	五项
spdb1030	福建银监局采取“五项措施”督促农信机构降低融资成本。
spdb1037	（一）浙江九地银行集成专项资源，开辟智造企业支持通道。一是专门组建科技支行，提高审贷效能。九地依托13家科技型支行，创新智能制造行业调查流程，快速响应智能制造企业融资需求。如温州龙湾农商行科技支行派驻专人对接高新园区，收集
spdb1038	（二）浙江九地银行业集成产品与服务，支持智造企业“走出去”与“引进来”。一是加速国际业务创新，实现智能装备“走出去”。 九地银行业将银团贷款、资管计划等理念引入保函等传统业务，促进智造企业扩大出口产能、参与海外并购，
spdb1039	（三）浙江九地银行集成企业群体与生产线，支持大企业转型与小企业壮大。一是创新项目营运贷款，促成生产线集成。部分大型智造企业生产线由多个项目组成，项目间的衔接需要资金投入，但这部分资金需求量大且散，无法单独做项目贷款，需要后期流动资金
spdb1040	前身国有农场工人农民特点
spdb1047	['yes', '是']
spdb1048	关于开设理财和代销产品销售举报投诉电话的公告，为有效维护银行业消费者合法权益，杜绝误导、诱导销售和私售“飞单”等违规行为，我局在辖区部署开展了理财销售专区“双录”工作，目前已全面完成。
spdb1049	['yes', '是']
spdb1050	2017年1月1日起
spdb1057	阜新银行把服务阜新实体经济作为战略导向，积极转变发展方式，推进业务结构调整。一是加大对重点项目、产业集群和新兴产业等领域的金融投入。积极支持辽宁宝厦建筑产业基地、辽宁神坤液压支架项目、徐工（辽宁）整车装备等合作项目，推进企业在品牌引进
spdb1058	2017年6月6日
spdb1059	2017年6月6日，北京银监局批复同意北京中关村银行开业，标志着北京市首家民营银行正式落地。
spdb1060	该行在筹建之初即提出了“服务科创”的差异化功能定位，并提出“扎根中关村，以服务三创为根本宗旨，以科技金融为最大特色，目标是努力建设成为各类创新型企业提供全生命周期服务的综合性金融服务平台”的目标。
spdb1067	湖南银行业加强收费项目清理，落实“七不准、四公开”和小微企业收费“两禁两限”要求，
spdb1068	['yes', '是']
spdb1069	0.85个
spdb1070	新疆银监局
spdb1077	['yes', '是']
spdb1078	廊坊银行网金科技银生宝
spdb1079	网金科技负责虚拟账户及整体系统开发、平台接入等运营服务，“银生宝”负责银行账户支付通道相关服务，廊坊银行提供资金存管服务。
spdb1080	通过在廊坊银行建立虚拟账户体系并与P2P平台进行对接，承载P2P客户的在线开户、实名认证、账户充值、提现及账户间资金划转功能，实体资金则通过廊坊银行的银行账户划拨。
spdb1087	吉明局长先后赴宁波日和新材料有限公司和宁波炜业兴茂进出口有限公司开展调研。
spdb1088	吉明局长向两家企业负责人深入了解了中小企业发展现状、金融产品和服务需求情况、经济金融环境对企业生产经营的影响、互联网冲击下的产品销售转型情况、企业面临的困难和诉求等。
spdb1089	发布《通知》的背景是什么？ 答：近年来，银信类业务增长较快，其中银信通道业务占比较高，存在一定风险隐患。对此，银监会高度重视，制定《通知》，对银信类业务，特别是银信通道业务予以规范。
spdb1090	二、《通知》的主要内容和要求是什么？ 答：《通知》共10条，主要包括四方面内容：一是明确银信类业务及银信通道业务的定义。《通知》明确将银行表内外资金和收益权同时纳入银信类业务，并在此基础上明确了
spdb1097	['yes', '是']
spdb1098	山东中行还积极为跨国企业集团提供跨国并购、债券发行、直接投资、资产管理等综合性、专业化服务。
spdb1099	115亿元
spdb1100	8月9日10时30分
spdb1107	59个99亿美元
spdb1108	广西银监局引导银行业打好“组合拳”服务科创企业发展。一是进驻高新技术开发区和科技园区，提升金融服务功能；二是制定专门的科技型企业授信管理办法；三是成立专营服务科创企业的科技业务部；四是运营产业基金模式为企业改造服务提供融资支持；五是用好广西
spdb1109	鞍山农村中小机构通过“银税合作”将小微企业纳税信用等级、纳税数据等信息与金融服务挂钩，既缓解了银行放贷顾虑又节约企业财务成本
spdb1110	78户6.62亿元
spdb1117	银监局地方税务局税合作框架协议
spdb1118	根据《框架协议》，国税、地税、银监三部门将成立“银税互动”合作领导小组，建立联席会议定期通报银税合作进展，研究解决银税合作过程中遇到的问题，并开展其他有利于“扶企业、稳增长”的合作项目。
spdb1119	同时，11家金融机构与广西地方税务局签署《银税服务战略合作协议》。
spdb1120	['yes', '是']
spdb1127	30多亿元
spdb1128	1.5亿美元
spdb1129	2014年3月26日
spdb1130	2015年8月
spdb1137	广州农商银行腾讯科技
spdb1138	二是广州农商银行与腾讯科技创新企业级市场的金融服务。构建基于腾讯金融云的移动互联网金融生态圈，开展网络金融业务及互联网金融产品等方面的合作，为企业客户和其员工提供基于互联网金融应用客户端的工资理财产品、小额贷款产品、消费金融产品等业务创新模式。
spdb1139	三是广州农商银行与腾讯科技研发综合性金融云产品。
spdb1140	一是广州农商银行与腾讯科技构建技术创新和共享平台。成立“科技金融创新实验室”，借助腾讯在金融云、区块链、大数据分析、人工智能等方面的优势，探索企业客户互联网金融产品业务新模式。
spdb1147	石河子国民村镇银行
spdb1148	 一是布局。截至2016年6月末，博尔塔拉农村中小金融机构在州辖共设立网点36个，各乡镇均实现了存、贷、汇业务全覆盖；机构网点服务已覆盖97个行政村，各类电子机具已覆盖116个政村数。二是创新。如，工行博尔塔拉分行的“诚税贷”、“银政通”、建行博尔塔拉分行的“助保贷”等产品，降低了小微企业融资门槛。三是减费。如石河子辖内2家村镇银行先后成功发行全免费银联借记卡“明珠卡”和“蜜蜂卡”13万张，年费、跨行取款、转账等费用由村镇银行全额承担，最大程度让利于民。四是便民。
spdb1149	二是创新。如，工行博尔塔拉分行的“诚税贷”、“银政通”、建行博尔塔拉分行的“助保贷”等产品，降低了小微企业融资门槛
spdb1150	['yes', '是']
spdb1157	河北银监局引导银行业机构区别对待产能过剩行业情况，避免“一刀切”，做到“有保有压、有扶有控”。
spdb1158	['yes', '是']
spdb1159	1000亿元45亿元
spdb1160	截至2017年一季度末
spdb1167	['yes', '是']
spdb1168	五、《国家开发银行监督管理办法》在完善开发银行公司治理方面有哪些要求？  建立健全公司治理机制是开发银行深化改革的重点内容之一。
spdb1169	近日，邮储银行山西省分行启动资产保全“专项行动”，采取移交、清收、呆账核销“三管齐下”措施，加大不良资产处置力度。
spdb1170	['yes', '是']
spdb1177	2011年
spdb1178	工行河北省分行针对近期存款纠纷案件，以“大额定期存款、开通网上银行、短期内定期转活期、汇入他人账户”为筛选条件，建立了大数据模型，对疑似异常定期存款进行筛查，共排查出潜在风险存款115笔1.72亿元。
spdb1179	河北省大型银行防范操作风险，提高柜面业务风险防控能力。一是借助大数据模型排查风险客户。如，工行河北省分行针对近期存款纠纷案件，以“大额定期存款、开通网上银行、短期内定期转活期、汇入他人账户”为筛选条件，建立了大数据模型，对疑似异常定期存款
spdb1180	['no', '不是']
spdb1187	['yes', '是']
spdb1188	37.48亿元630家22.02亿元516家
spdb1189	['yes', '是']
spdb1190	在李赛辉看来，就像大小超市的关系一样，要改变县域的金融状况，最重要的是发展立足县域、在农民身边的小机构。
spdb1197	银行农户企业信贷产品重点乡镇县经信委县工商联企业银政合作关系龙头企业家庭农场林权抵押农产品特色信贷产品抵押品担保方式难题
spdb1198	14.6亿元
spdb1199	25家53笔
spdb1200	6月15日
spdb1207	河南漯河郾城包商
spdb1208	河南漯河郾城包商村镇银行“四个专注”打造服务“三农”新模式。
spdb1209	['yes', '是']
spdb1210	['yes', '是']
spdb1217	['yes', '是']
spdb1218	3家
spdb1219	微众银行、中信银行信用卡中心等与电商合作在购买二手车、住房装修、网络购物等领域开展全景化合作，
spdb1220	兴业银行深圳分行等与医疗机构合作有效解决患者挂号、候诊、缴费排队难题，
spdb1227	为进一步深化改革开放，更好地发挥在华外资银行在“一带一路”国家战略实施以及我国经济结构转型调整中的积极作用，银监会近日发布《关于外资银行开展部分业务有关事项的通知》（以下简称《通知》）。
spdb1228	《关于外资银行开展部分业务有关事项的通知》明确，在华外资银行可以与母行集团开展内部业务协作，为“走出去”的企业在境外发债、上市、并购、融资等活动提供综合金融服务，发挥外资银行的全球化综合服务优势。
spdb1229	['yes', '是']
spdb1230	为深入贯彻党的十八届五中全会以及2016年中央经济工作会议精神，落实国务院和银监会关于发展绿色金融的各项部署，引导辖区银行机构大力发展绿色金融，支持供给侧结构性改革，助力区域经济提质增效和生态文明建设，青岛银监局出台《关于加强绿色金融服务的指导意见》。
spdb1237	['yes', '是']
spdb1238	686.80亿元41个
spdb1239	为贯彻落实国家“一带一路”战略部署，青海银监局针对青海在“丝绸之路经济带”中的人文优势、区位优势和资源优势，引领银行业主动对接互联互通、贸易融通以及节点城市建设中的大工程、大项目、大企业的融资需求，着力打造特色银团贷款服务品牌，提供一揽子综合性
spdb1240	686.80亿元41个
spdb1247	发布《商业银行股权管理暂行办法》的背景是什么？ 答：银监会一直积极贯彻落实党中央、国务院关于防控金融风险、弥补监管短板的决策部署，大力排查监管制度漏洞，坚决治理市场乱象，坚决打击违法行为。当前，银行业金融机构快速发展，社会资本发起设立、参股或
spdb1248	二、《商业银行股权管理暂行办法》确立了哪些立法原则？ 答：《办法》提出了“分类管理、资质优良、关系清晰、权责明确、公开透明”的二十字原则。
spdb1249	银监会银监会
spdb1250	['yes', '是']
spdb1257	一是建立“两个机制”。
spdb1258	三是强化“两项服务”。强化信贷金融服务，根据农村实际和农户需求，推出“专业大户、农业加工、家庭农场”等助农信贷业务。与重庆市农业担保有限公司合作，积极探索新的担保方式，破解农户贷款担保难题。强化科技金融服务，贷款农户与银行、担保公司签订贷款合同后，运用科技手段，现场为农户开立银行结算账户和手机银行，指导农户使用手机银行进行日常结算，打通金融服务的“最后一公里”。
spdb1259	100%
spdb1260	河北省股份制银行持续加大京津冀协同发展支持力度。
spdb1267	西藏银监局持续督促和指导邮储银行西藏分行认真学习领会《中国邮政储蓄银行代理营业机构管理办法(修订)》（以下简称《办法》），采取有力措施抓好贯彻落实，邮储代理机构标准化改造取得了实质性进展。
spdb1268	 西藏银监局高度重视《办法》的贯彻落实及简政放权工作，通过日常监管、走访，督促邮储银行西藏分行将《办法》的培训学习向基层网点和一线人员有效延伸，加大对《办法》落实情况和发现问题的沟通和指导。
spdb1269	['yes', '是']
spdb1270	三个11家
spdb1277	['yes', '是']
spdb1278	两年
spdb1279	一、客户意见处理高效化，提升金融消费者满意度 一是开门纳谏，提前介入。
spdb1280	三、消保评价档案规范化，奠定有序工作基础 一是做好消费者权益保护工作各类档案的保存。
spdb1287	 当天，中科院上海药物所宁波生物产业创新中心二期、宁海县中小企业孵化基地、徐霞客大道西延伸段绿化景观、甬临线杨梅岭至堤树岭段改线工程等项目也集中开工，总投资额达１６．６亿元。
spdb1288	今年１月，鄞州实现合同利用外资０．９４亿美元、实际利用外资１．３６亿美元，比去年同期分别增长４．８％和４．６％；
spdb1289	内资、浙商回归实际到位资金分别达２３．８９亿元和８．０１亿元，均超去年前两个月的引资总额。
spdb1290	一、完善金融扶贫政策措施，强化“窗口”指导 一是强化政策措施“窗口”。按照中央、银监会、陕西银监局印发的金融扶贫要求，分局积极督导辖内银行业机构完善扶贫政策措施。
spdb1297	['yes', '是']
spdb1298	为落实国务院支持小微企业发展的政策要求，河北银监局于4月份组织开展了“小微企业金融服务宣传月”活动
spdb1299	一、加大科技投入，金融服务到田间地头。今年以来，各县域银行业机构积极加大资金、设备投入，金融服务手段不断提高。如藁城市联社及时添置小额贷款系统所需设备，其中配备笔记本50台，指纹仪66个，摄像头54个，扫描仪10个，33个
spdb1300	4200多家
spdb1307	并计划于今年上线“基础设施即服务”Mini-IaaS项目以完成对虚拟化平台Deep Pod的扩充。
spdb1308	['yes', '是']
spdb1309	农发行安庆市分行积极发挥政策性金融扶贫作用,按照“政府主导、精准扶贫、统贷统还、专款专用、风险可控”的原则，主动对接国定贫困县岳西县产业扶贫规划，积极探索以扶贫批发资金支持产业扶贫。
spdb1310	分行农村发展投资有限公司借款人
spdb1317	近年来，三明银监分局积极引导辖内银行业机构支持三明市国家扶贫改革试验区建设，探索以精准扶贫为主、普惠扶贫为辅的扶贫模式，运用创新扶贫和知识扶贫等手段，取得明显成效。
spdb1318	。引导银行业机构把当地特色农业产业、种养殖业和农副产品加工业等作为信贷扶持重点，积极与农办、财政、妇联等部门合作，着力解决创业资金缺口
spdb1319	二是精准扶贫到村。突出整村推进，创新贫困村资金互助机制。沙县建立全省首个村级精准扶贫担保基金，对于有资金需求且具备一定创业能力的贫困户，无需缴纳入股资金，即可申请贫困户创业贷款3至5万元，同时享受基准利率贴息，目前为10位
spdb1320	['yes', '是']
spdb1327	截至2015年末，银行业已完成对新区175个重大项目的授信，授信金额达841.05亿元，其中已到位融资285.19亿元，有力保障新区远洋渔业基地、鱼山岛拆迁工程等一大批重点项目建设的顺利推进以及新一轮产业项目布局的顺利开展。
spdb1328	['yes', '是']
spdb1329	2559人次
spdb1330	活动中，新疆银监局积极引导银行机构深入少数民族较集中的南疆地区开展宣传，为少数民族群众进行个人信息保护、电信诈骗预防等方面的知识宣传与咨询，较好地促进了民族团结，维护社会稳定。
spdb1337	两年2018 年12月31 日
spdb1338	安康银监分局提出的金融顾问为企业推行免费顾问咨询服务，以明晰企业产权、规范企业财务、完善企业规章、规范企业管理为主线，重点解决银行与企业之间信息不对称、贷款难和放款难并存的问题，同时坚持改进服务、做强金融、做实实体、银企
spdb1339	安康银监分局提出的金融顾问主要包括十项基本工作职责：一是负责制定企业帮扶年度计划，拟定、落实具体帮扶工作措施，适时为企业提供业务咨询；二是按季度定期到企业了解、掌握企业生产经营状况，指导企业完善内部经营管理制度；三是指导企业明晰产权
spdb1340	['yes', '是']
spdb1347	魅娘大赛银行分行社区客户设计服务
spdb1348	['yes', '是']
spdb1349	为指导商业银行规范押品管理，有效防范和化解信用风险，银监会近日发布《商业银行押品管理指引》（以下简称《指引》）。银监会有关部门负责人回答了记者提问。一、发布《指引》的背景是什么？ 答：抵质押品是商业银行缓释信用风险的重要手段
spdb1350	二、加强押品管理应遵循什么原则？ 答：商业银行押品管理应遵循合法性、有效性、审慎性和从属性原则，既要依法依规加强押品管理，确保抵质押担保能够有效保障银行债权，又要充分考虑押品自身风险因素，审慎制定押品管理政策，动态评估
spdb1357	国家开发银行宁波分行，一是坚持开发性金融“大风险”理念，围绕政府关心的热点和难点提供“融资、融智”服务。二是坚持规划先行，对未来资产质量进行前瞻性预判，推动风险管理工作从“狩猎”转向“农耕”。三是结合信贷产品风险特点，成功
spdb1358	截至2015年6月底，该行表内信贷资产达千亿元，不良资产率保持低位运行，已连续六年被宁波市政府授予“融资贡献奖”、“金融机构综合考评一等奖。
spdb1359	['yes', '是']
spdb1360	办公厅关于做好银行业金融机构  债权人委员会有关工作的通知
spdb1367	浦发银行西安分行编写了消保培训材料，一是自行开发消保培训教材，编写了《金融消费者知识问答手册》《厅堂员工服务规范手册》《大堂经理100问》和《客户服务技巧汇编》四项培训教材，以图文并茂的方式传导消保知识和服务规范，其中部分教材系该行
spdb1368	福建银监局关于2017年度银行业支持扶贫开发工作的意见，（一）明确支持扶贫开发信贷投放目标。
spdb1369	福建银监局具体通过，推进电子银行业务。
spdb1370	['yes', '是']
spdb1377	探索开展“企业通”产品，由银行根据工商部门要求收集整理注册企业相关资料报送工商部门，工商注册审批后银行直接跟进提供结算服务，实现工商注册与银行结算服务进行无缝衔接，提高企业注册登记及账户结算时效。
spdb1378	['yes', '是']
spdb1379	城乡品质建设目标中心城区品质重点项目县城品质提升项目年度
spdb1380	今年，宁波市将紧紧围绕“提升城乡品质、建设美丽宁波”目标，在中心城区加快推进品质提升重点项目457个，各县市区推进美丽县城品质提升项目700多个，力争完成年度投资2000亿元以上；使“住房难”、“解危难”、“出行难”
spdb1387	12家3亿元
spdb1388	工商银行镇江分行和建设银行镇江分行通过自有网上商城提供第三方交易服务，成功签约30家实体企业入驻网上商城。
spdb1389	中国银行镇江分行和交通银行镇江分行与9家电商建立战略合作关系，通过电商平台，为实体企业提供网上采购和销售“一站式”服务。
spdb1390	['yes', '是']
spdb1397	   福建银行业启动第四届小微企业金融服务宣传月活动，二是突出宣传要点。
spdb1398	2015年6月末，辖内小微企业贷款余额7236.27亿元，同比增长13.08%，小微企业贷款户数39.20万户，同比增长23.30%；小微企业贷款占各项贷款比重达28.79%，比全国平均水平23.35%高出5.44个百分点。
spdb1399	 河南银监局建立小微企业金融产品库，深化银企对接，为深化小微企业融资服务，推动2016年全省银企对接活动开展，河南银监局借助“互联网+”，将线上产品推介和线下现场对接活动相结合，建立河南省银行业机构小微企业金融产品库。
spdb1400	河南省银行业机构小微企业金融产品库汇集了全省各类银行业机构近400种小微企业信贷产品，每种产品详细介绍了产品功能、服务对象、准入条件、担保方式、产品额度、融资期限以及办理流程等信息。
spdb1407	中资银行村镇银行技术制造业贷款
spdb1408	截至6月末，北京辖内中资银行（不含村镇银行）对高技术制造业贷款972.84亿元，较年初增加72.11亿元，增幅8.01%，同比增加117.87亿元，增幅13.79%。
spdb1409	北京辖内中资银行对高技术制造业，从贷款结构来看一是大型企业高技术制造业贷款发展势头强于中小型企业；二是贷款增量高度集中于集成电路制造等行业；三是高技术制造业贷款质量显著优于制造业贷款整体水平。
spdb1410	['yes', '是']
spdb1417	2011年底，江西省银行业金融机构实现税后利润为238.41亿元，同比增长48.13%。
spdb1418	['yes', '是']
spdb1419	资本总额百分之一百分之五
spdb1420	商业银行股东及其关联方、一致行动人单独或合计持有商业银行资本总额或股份总额百分之一以上、百分之五以下（“以上”含本数，“以下”不含本数，下同）的，应当在取得相应股权后十个工作日内通过商业银行向银监会或其派出机构报告。
spdb1427	2018年3月17日至18日
spdb1428	['yes', '是']
spdb1429	对不在规定时间内提交放弃声明，又因个人原因放弃面试的，将上报中央公务员主管部门记入诚信档案。
spdb1430	20）之前到所在考点候考室备考，未按上述规定时间到达候考室的考生视为自动放弃面试资格。
spdb1437	338.06万平方米19923户
spdb1438	第一批50.36亿元第二批154亿元
spdb1439	近日，农行青岛分行为优质重点客户圣元集团成功发放首笔“走出去”贷款2000万欧元，进一步提升了跨境服务水平，拓宽了银企合作范围。
spdb1440	农行青岛分行根据总行刚推出的支持企业“走出去”的产品和政策，结合欧元走势，为企业量身定做了“保证金+理财质押+走出去欧元融资+远期结售汇”的产品组合。
spdb1447	管理公司资本管理办法资本办法
spdb1448	近日，中国银监会为加强对金融资产管理公司（以下简称资产公司）的资本监管，弥补制度短板，提升监管效能，引导资产公司进一步聚焦不良资产主业，服务实体经济和供给侧结构性改革，规范多元化经营，银监会发布《金融资产管理公司资本管理办法（试行）》（以下简称《资本办法》
spdb1449	2011年，中国银监会为适应股改转型后资产公司的监管，银监会制定并发布《金融资产管理公司并表监管指引（试行）》
spdb1450	['yes', '是']
spdb1457	辽宁银监局“四个强化”的具体内容：一是强化政策引领，科学制定规划，切实加大宣传引导力度，深入开展调研。二是强化督导考核，认真组织开展考核，加强监管督导。三是强化监管服务，指导银行用好用足支持政策，加大监管支持力度，大力
spdb1458	['yes', '是']
spdb1459	广西银监局对金融扶贫政策实施效果评估的目的：通过评估，全面掌握辖区银行业贯彻金融扶贫政策采取的措施及取得的成效，及时发现问题和困难并分析查找原因，为下一步改进和完善相关金融扶贫政策、实施差异化监管措施、提升金融精准扶贫效果提供
spdb1460	74万户
spdb1467	2017年12月末，西藏金融机构本外币各项存款余额为4959.06亿元，比年初增加579.40亿元，增长13.23%；各项贷款余额为4043.64亿元，比年初增加995.00亿元，增长32.64%;存贷比为81.54%，比年初上升11.93个百分点。
spdb1468	2017年12月末，西藏银行业金融机构涉农贷款余额为1177.55亿元
spdb1469	2017年，西藏银行业金融机构严格贯彻落实中央第五次全国金融工作会议精神,认真执行中央赋予西藏的特殊优惠金融政策，
spdb1470	斯洛伐克目前的经济概况，近年来，大量外国企业到斯洛伐克投资，形成了汽车、电子等为主的支柱产业，成为推动斯洛伐克经济和出口快速增长的主要动力之一。在外资、出口和内需的拉动下，斯洛伐克经济快速增长。2011年，在德国等主要贸易国市场需求的拉动
spdb1477	新闻发布会上，青岛银行郭少泉董事长以“真实、特色、稳健”六字简要概括了青岛银行的投资亮点。
spdb1478	银行机具机具金融卡信息惠民工程标识
spdb1479	为给客户提供更为全面、便捷、安全的自助服务体验，提升该行品牌形象，日前，晋中银行36台自助机具已完成升级
spdb1480	“金融IC卡信息惠民工程”标识是应人民银行“支持公共服务信息化水平的提升以及加快实施信息惠民工程，大力推进金融IC卡在公共服务领域应用”的要求而设定。
spdb1487	中国银行业监督管理委员会为规范信托投资公司集合资金信托业务的信息披露行为，保障集合信托计划当事人的合法权益，依据《中华人民共和国银行业监督管理法》、《中华人民共和国信托法》、《信托投资公司管理办法》和《信托投资公司资金信托管理暂行办法》的有关规定，中国银行业监督管理委员会制定了《信托投资公司集合资金信托业务信息披露暂行规定（征求意见稿）》
spdb1488	['yes', '是']
spdb1489	根据银监会推进基础金融服务村村通工作的有关要求，青岛银监局加强组织部署，制定了3-5年工作推进方案及实施计划，明确了摸清底数、逐步深入、定期通报的工作思路，提出了多方协同、加大宣传、查漏补缺的工作要求，推动辖区基础
spdb1490	根据银监会推进基础金融服务村村通工作的有关要求，青岛银监局加强组织部署，制定了3-5年工作推进方案及实施计划，明确了摸清底数、逐步深入、定期通报的工作思路，提出了多方协同、加大宣传、查漏补缺的工作要求，推动辖区基础
spdb1497	国分行化学工程股份有限公司化学电建集团投资有限公司电建海投市场合作协议
spdb1498	根据协议内容，国开行厦门分行将充分利用开发银行集团优势、海外平台优势、“投贷债租证”全牌照优势，以及在印尼市场拥有丰富项目经验的优势，积极为中国化学和电建海投开拓印尼市场提供优质高效的金融服务和增值服务，深化中印尼双边经贸关系。
spdb1499	['yes', '是']
spdb1500	 “农资分期业务”是为解决农户短期农资资金不足和农资公司应收账款渐增而推出的新型分期业务产品。
spdb1507	三一
spdb1508	邮储银行上海分行着力打造专业化为农服务体系，探索服务“三农”新模式。一是提供综合性服务方案。分行为职业农民提供丰富的金融产品，并借助邮政物流平台、邮乐电商平台和专业农信平台解决职业农民销售、配送、财务等信息服务难题。二是提供一对一
spdb1509	邮储银行上海分行探索服务“三农”新模式，三是提供常态化项目跟踪管理。
spdb1510	['yes', '是']
spdb1517	《规则》重新梳理了衍生工具资本计量的基础定义和计算步骤，明确了净额结算组合、资产类别和抵消组合的确定方法，分别规定了不同保证金安排情况下风险暴露的计量公式。
spdb1518	['yes', '是']
spdb1519	浙商银行上海分行
spdb1520	 浙商银行上海分行积极帮助企业“降成本”，一是深化流动性服务银行建设，帮助企业提升流动性管理效率、降杠杆和管理资产负债表。
spdb1527	2343个6934万元
spdb1528	年初
spdb1529	邮储银行中山市分行创新模式，强化“三农”金融服务 该行自年初设立三农金融事业部以来，秉承“坚持战略导向、平衡权责分配、确保边界清晰、坚持循序渐进”的原则，强化立足“三农”、服务“小微”的功能定位。
spdb1530	   邮储银行中山市分行创新模式，强化“三农”金融服务，一是针对“三农”普遍面临的抵押物匮乏的问题，深化与政府、企业、担保、保险、协会等平台的协作，创新“银证、银协、银企、银担、银保”五大合作平台
spdb1537	锦州辖内银行业采取多种手段和金融措施着力精准扶贫，勇于承担社会职责，实现收益与声誉“双赢”目标。一是以“农业龙头企业专项信贷模式”支持农民“链条式”就业增收。2016年上半年，全辖银行业通过简化审批手续、调节担保方式等优惠政策，对
spdb1538	2016年上半年，锦州银行业累计投放妇女小额贴息担保贷款2.71亿元，同比增加42.63%，惠及3641名创业女性，同比增加38.34%。有效的支持了妇女就业创业热潮，带动了城乡食用菌种植、蛋鸡养殖、手工编织等20多个项目发展，间接创造就业岗位万余个。
spdb1539	['yes', '是']
spdb1540	理财周报银行零售银行评选结果
spdb1547	广发银行郑州分行省政府省银监局广发总行
spdb1548	广发银行郑州分行积极落实省政府、省银监局关于支持小微企业发展的政策和广发总行“成为最高效的中小企业银行，最佳零售银行”的发展战略，以13家“小微企业金融中心”专营团队为主力、13家综合支行小微企业专业营销人员为辅助，大力拓展中小企业业务
spdb1549	广发银行郑州分行小微企业贷款余额112.89亿元，较年初增长10.35亿元，增幅10.09%，高于全行全部贷款增幅的9.49%；
spdb1550	['yes', '是']
