spdb1017	12月18日
spdb1557	党的十八届三中全会提出构建开放型经济新体制
spdb1558	下一步，银监会还将持续推进银行业对外开放
spdb1559	['yes', '是']
spdb1560	银行中资银行金融资产管理公司外资股比例限制
spdb1567	“金融部门评估规划”是国际货币基金组织和世界银行于1999年联合推出的评估项目，主要目的是评估成员经济体的金融体系发展程度和稳健性、监管框架质量以及应对金融危机的能力。
spdb1568	2009-2011年五年2015年10月
spdb1569	['yes', '是']
spdb1570	2015年4月
spdb1577	西藏银行股份有限公司西藏银监局
spdb1578	西藏首家地方性法人银行――西藏银行股份有限公司获得西藏银监局颁发的《金融许可证》，这标志着结束了西藏无地方银行的历史，实现了西藏人民的百年银行梦想。
spdb1579	西藏银监局将指导和推动西藏地方法人银行贯彻“立足西藏、服务西藏”的经营方针，逐步在区内其它地区、县设立分支机构和营业网点，进一步提升西藏金融服务均等化和可获得性水平，为西藏经济社会跨越式发展起到积极的推动作用。
spdb1580	['yes', '是']
spdb1587	河南银监局制定出台了《关于推进2016年小微企业金融服务工作的指导意见》，从信贷投放、政策导向、机制建设、服务创新、风险防控、监管约束、优化环境等方面，提出14条具体工作要求，推动2016年小微企业金融服务工作开展。
spdb1588	['yes', '是']
spdb1589	银行卡清算机构管理办法  （中国人民银行 中国银行业监督管理委员会令〔2016〕第2号） 第一章  总则第一条 为促进我国银行卡清算市场健康发展，规范银行卡清算机构管理，保护当事人合法权益，根据《中华人民共和国中国人民银行法》、《国务院关于实施银行卡清算机构准入管理的
spdb1590	银行卡清算机构管理办法  （中国人民银行 中国银行业监督管理委员会令〔2016〕第2号）     第一章  总则第二条 
spdb1597	广东辖内银行机构四个“主动”促降成本工作取得阶段性成果  一是主动减费让利，2017年上半年，辖内银行机构共取消收费项目187项，整合精简收费项目64项，降低收费标准171项，减费让利金额合计达26.44亿元。二是主动承担尽职调查、押品评估等
spdb1598	['yes', '是']
spdb1599	44所60余场2万
spdb1600	12
spdb1607	巾帼创业小额贷款促使一批中青年妇女成为当地发家致富的带头人和新农村建设的生力军，带动了1万余名城乡妇女实现就业，一定程度上缓解了下岗女工、返乡女工和女大学生的就业压力，社会效益逐步显现。同时，该联社巾帼创业贷款的成功推进，也为其他
spdb1608	['yes', '是']
spdb1609	二、推进福建与“一带一路”沿线国家的经贸文化交流。
spdb1610	三、服务福建与“一带一路”沿线国家的互联互通建设。
spdb1617	['yes', '是']
spdb1618	河南银监局
spdb1619	河南银监局出台意见，就做好2016年困难企业金融服务工作做出部署。
spdb1620	推动政府试点推行主办银行制度，即由河南省政府牵头，河南省银行业协会主办、河南银监局和人民银行、发改委、工信委等其他职能主管部门参与，建立银行之间互通共商机制，实现信息共享，增强债权行之间行动的协调性，统一思想，统一行动，不抽贷、不压贷，
spdb1627	湖南银监局始终将督促和指导银行业加强重点领域金融服务作为监管工作的重中之重，推动辖内银行业机构持续加强金融创新，提升服务实体经济质效。上半年
spdb1628	银监会、发改委印发《关于银行业支持重点领域重大工程建设的指导意见》，要求银行业做好重大工程项目建设金融服务。
spdb1629	['yes', '是']
spdb1630	三项9家4家38项
spdb1637	三
spdb1638	。将社办医院纳入信贷重点支持领域，明确业务准入标准，加大信贷支持力度
spdb1639	['yes', '是']
spdb1640	['yes', '是']
spdb1647	三家1968.56亿元
spdb1648	三家10个757.23亿元
spdb1649	青岛辖区三家政策性银行前10个月贷款投放总额为757.23亿元，中长期贷款占其投放总额的72.97%。
spdb1650	贷款余额1672.72亿元
spdb1657	1124个2941.38亿元287个531.16亿元
spdb1658	咸阳分局积极落实《咸阳涉农银行业金融机构“双基联动”实施方案》，推动涉农银行业金融机构开展客户信用档案建档评级工作，有效缓解了银行业机构和农村客户之间的信息不对称问题。
spdb1659	近期，咸阳分局积极落实《咸阳涉农银行业金融机构“双基联动”实施方案》，推动涉农银行业金融机构开展客户信用档案建档评级工作，有效缓解了银行业机构和农村客户之间的信息不对称问题。
spdb1660	['yes', '是']
spdb1667	邮储银行南阳市分行全力做好春耕备耕金融服务，三是送贷下乡，做好客户数据库建设。结合信用村镇建设成果，建立春耕备耕客户信息数据库，及时了解客户经营情况、资金需求等，为客户提供针对性金融服务。
spdb1668	银行分行春耕备耕金融服务产品知名度乡村路口集市政府所在地粉刷墙体广告服务海报宣传
spdb1669	公司行政许可事项实施办法主席会议日
spdb1670	《中国银监会信托公司行政许可事项实施办法》，第一条 为规范银监会及其派出机构实施信托公司行政许可行为，明确行政许可事项、条件、程序和期限，保护申请人合法权益，根据《中华人民共和国银行业监督管理法》、《中华人民共和国行政许可法》等法律、行政法规及国务院的有关决定，制定本
spdb1677	中国银监会关于规范商业银行代理销售业务的通知，近年来，随着商业银行代理销售业务快速发展，部分商业银行出现误导销售、未经授权代理销售、私自销售产品以及与合作机构风险责任不清等问题。
spdb1678	中国银监会关于规范商业银行代理销售业务的通知，近年来，随着商业银行代理销售业务快速发展，部分商业银行出现误导销售、未经授权代理销售、私自销售产品以及与合作机构风险责任不清等问题。为规范商业银行代理销售业务，保护投资者合法权益，促进代理销售业务健康有序发展，现就有关事项通知如下：
spdb1679	['yes', '是']
spdb1680	70亿元
spdb1687	['yes', '是']
spdb1688	全部75%
spdb1689	2014年建行辽宁省分行不断夯实客户基础，重点发展小微企业业务，形成了“速贷通”、“成长之路”、“小额贷”、“信用贷”四大产品体系，涵盖了30余种小微企业金融产品。
spdb1690	2014年建行辽宁省分行积极探索为小微企业提供金融服务的新模式，取得了显著成效。一是通过为核心企业提供供应链融资产品，将金融服务向上下游延伸，积极打造包括行业链、企业链、产品链的“链式服务”模式。二是结合小微企业业务特征，提出
spdb1697	一是建立小微企业联系点。巴南银监分局班子成员每人联系4家小微企业，共计16家。确定的小微企业联系点覆盖分局辖内3个行政区，主要选择当地支柱和扶持类行业的企业
spdb1698	巴南银监分局通过建立小微企业常态化联系机制，及时了解小微企业金融服务的困难和问题，持续推进小微金融服务工作。一是建立小微企业联系点。巴南银监分局班子成员每人联系4家小微企业，共计16家。确定的小微企业联系点覆盖分局辖内3个行政区，主要
spdb1699	['yes', '是']
spdb1700	银行业基调供给结构性改革主线全区经济质增效
spdb1707	['no', '不是']
spdb1708	第五条
spdb1709	中国银监会为规范商业银行并购贷款经营行为，提高商业银行并购贷款风险管理能力，加强商业银行对经济结构调整和资源优化配置的支持力度，促进银行业公平竞争，维护银行业合法稳健运行，根据《中华人民共和国银行业监督管理法》、《中华人民共和国商业银行法》等法律法规，制定本指引。
spdb1710	第四条  本指引所称并购贷款，是指商业银行向并购方或其子公司发放的，用于支付并购交易价款和费用的贷款。
spdb1717	渝东南银行业金融扶贫使真劲显实效
spdb1718	渝东南银行业，是细化责任，推进扶贫小额信贷。以落实分片包干责任制为抓手，坚持深入村镇、责任到人、精准到户，加大扶贫小额信贷的投放力度。
spdb1719	['yes', '是']
spdb1720	广东中山分局
spdb1727	2015年以来，交行深圳分行积极响应银监会倡导“绿色信贷”的号召，严格执行相关政策要求，一方面，根据不同行业环境风险实行名单制、差异化管理，对相关类别企业客户实施严格的环境和社会风险评价，严禁受理环保标识为红色类客户及项目；另一方面
spdb1728	交行深圳分行严禁受理环保标识为红色类客户及项目；
spdb1729	另一方面，交行深圳分行通过继续加强“产能过剩”行业的管控，实行“一户一策”，加大落后产能行业总量压降和结构调整，优化授信品种并合理设置期限结构，并积极推进低层级客户减退工作。
spdb1730	['yes', '是']
spdb1737	中国银行保险监督管理委员召开的党委（扩大）会议要求，银保监会各级党组织要以习近平新时代中国特色社会主义思想为指导，坚决维护以习近平同志为核心的党中央权威和集中统一领导，进一步增强“四个意识”，坚定“四个自信”，不折不扣抓好党中央决策部署
spdb1738	['yes', '是']
spdb1739	中国银监会关于进一步规范银行业金融机构  
spdb1740	中国银监会关于进一步规范银行业金融机构  吸收公款存款行为的通知所指公款是指财政专户资金、预算单位银行账户资金和国有企事业单位银行账户资金。
spdb1747	6.9%
spdb1748	城商行地方经济服务小微企业服务城乡居民市场定位科学发展理念风险管理水平整体实力
spdb1749	134家30.5万亿元五年五年3.7个
spdb1750	5条13款
spdb1757	二是广东辖内农合机构提升基础金融服务水平。累计参与建设信用村4974个，与2817家村级金融服务站建立合作关系，建设助农取款点4908个。
spdb1758	三是广东辖内农合机构加大支农产品和服务创新。全面开展农业“政银保”贷款项目，大力支持四类农业经营主体；稳妥有序开展“农村承包土地经营权”“农民住房财产权”“林权”抵押贷款试点工作。
spdb1759	['yes', '是']
spdb1760	3.67万笔162.96亿元
spdb1767	专区“双录”以技术手段增强了对于银行业金融机构销售行为的硬性约束，强化了其信息披露义务，有利于从源头上规范销售行为。
spdb1768	在此基础上，北京农商银行与政府合作推出“惠农一卡通”，
spdb1769	北京银监局引导北京农商银行搭建多应用管理平台，通过科技手段实现居民信息筛选维护、银政信息交互直联对接、购煤限额后台管理等，为政府以户为单位发放补贴、对补贴额度进行实时管控提供数据和技术支持。
spdb1770	北京农商银行与政府合作推出“惠农一卡通”，方便持卡人通过POS刷卡直接享受优惠价格购买政府补贴优质煤，并广泛布设POS机具实现煤改清洁能源金融服务全覆盖，为解决偏远山区居民冬季绿色取暖问题提供重要金融支持。
spdb1777	县域经济企业主体实体经济栖息地金融需求程度经济发展结构影响
spdb1778	由以煤炭为主的“黑金山”到现在的发展现代产业、生态农业，实现农民较快增收，王建球县长认为，“这都得益于金融的大力支持”。
spdb1779	两行两年10.84亿元
spdb1780	['yes', '是']
spdb1787	洛南阳光村镇银行
spdb1788	渭南银行业为灾后金融服务做的工作，一是深入受灾地区摸排调研。
spdb1789	第1507次
spdb1790	根据《中华人民共和国民事诉讼法》等有关法律、行政法规的规定以及审判实践的需要，制定《最高人民法院关于审理期货纠纷案件若干问题的规定（二）》规定。
spdb1797	['yes', '是']
spdb1798	第1504次
spdb1799	第二十三条 当事人之间对股权归属发生争议，一方请求人民法院确认其享有股权的
spdb1800	国务院银行业监督管理机构中国银行业监督管理委员会中国银监会中国银监会
spdb1807	第三十四条　外汇管理机关依法进行监督检查或者调查，监督检查或者调查的人员不得少于2人，并应当出示证件。监督检查、调查的人员少于2人或者未出示证件的，被监督检查、调查的单位和个人有权拒绝。
spdb1808	['yes', '是']
spdb1809	国务院外汇管理部门
spdb1810	审计法所称审计，是指审计机关依法独立检查被审计单位的会计凭证、会计账簿、财务会计报告以及其他与财政收支、财务收支有关的资料和资产，监督财政收支、财务收支真实、合法和效益的行为。
spdb1817	审计机关进行审计时，有权检查被审计单位的会计凭证、会计账簿、财务会计报告和运用电子计算机管理财政收支、财务收支电子数据的系统，以及其他与财政收支、财务收支有关的资料和资产，被审计单位不得拒绝。
spdb1818	审计机关履行审计监督职责，可以提请公安、监察、财政、税务、海关、价格、工商行政管理等机关予以协助。
spdb1819	1995年1月1日起1988年11月30日
spdb1820	被审计单位对审计机关作出的有关财务收支的审计决定不服的，可以依法申请行政复议或者提起行政诉讼。
spdb1827	土地承包经营权人依法对其承包经营的耕地、林地、草地等享有占有、使用和收益的权利，有权从事种植业、林业、畜牧业等农业生产。
spdb1828	['yes', '是']
spdb1829	公司、企业通过隐匿财产、承担虚构的债务或者以其他方法转移、处分财产，实施虚假破产，严重损害债权人或者其他人利益的，对其直接负责的主管人员和其他直接责任人员，处五年以下有期徒刑或者拘役，并处或者单处二万元以上二十万元以下罚金。
spdb1830	['yes', '是']
spdb1837	为了规范公司的组织和行为，保护公司、股东和债权人的合法权益，维护社会经济秩序，促进社会主义市场经济的发展，制定《中华人民共和国公司法》。
spdb1838	公司代表人公司章程规定董事长执行董事经理公司代表人变更登记
spdb1839	['yes', '是']
spdb1840	第二十三条
spdb1847	['no', '不是']
spdb1848	['no', '不是']
spdb1849	 基金管理公司条件证券监督管理机构公司法章程注册资本人民币股东证券经营证券投资咨询信托资产管理金融资产管理经营业绩社会信誉违法记录注册资本人民币基金资格人员人数要求营业场所防范设施基金管理业务设施稽核监控制度风险控制制度法律行政法规证券监督管理机构条件
spdb1850	第十六条 基金管理人的经理和其他高级管理人员，应当熟悉证券投资方面的法律、行政法规，具有基金从业资格和三年以上与其所任职务相关的工作经历。
spdb1857	['no', '不是']
spdb1858	行政机关实施行政许可，擅自收费或者不按照法定项目和标准收费的，由其上级行政机关或者监察机关责令退还非法收取的费用；对直接负责的主管人员和其他直接责任人员依法给予行政处分。
spdb1859	取得直接关系公共利益的特定行业的市场准入行政许可的被许可人，应当按照国家规定的服务标准、资费标准和行政机关依法规定的条件，向用户提供安全、方便、稳定和价格合理的服务，并履行普遍服务的义务；未经作出行政许可决定的行政机关批准，
spdb1860	 行政有效期行政许可有效期行政行政机关法律法规规章规定规定
spdb1867	商业银行根据业务需要可以在中华人民共和国境内外设立分支机构。
spdb1868	['no', '不是']
spdb1869	十亿元
spdb1870	借款人到期不归还担保贷款的，商业银行依法享有要求保证人归还贷款本金和利息或者就该担保物优先受偿的权利。
spdb1877	第八届第十三次
spdb1878	票据金额以中文大写和数码同时记载，二者必须一致，二者不一致的，票据无效。
spdb1879	以欺诈、偷盗或者胁迫等手段取得票据的，或者明知有前列情形，出于恶意取得票据的，不得享有票据权利。持票人因重大过失取得不符合本法规定的票据的，也不得享有票据权利。
spdb1880	3日内
spdb1887	第十五条独资银行、合资银行申请设立分行，应具备下列条件：  （一）在中国境内开业三年以上
spdb1888	一年
spdb1889	['no', '不是']
spdb1890	开业延期的最长期限为九十日。
spdb1897	['no', '不是']
spdb1898	四、投标参与人应符合以下条件： （一）具有健全风险内控机制和较强债券定价能力的金融机构； （二）上一年度通过中国人民银行发行系统投标认购债券总量（不包括中央银行票据）的排名在前80名； （三）最近两年
spdb1899	八、债券招标发行前，发行人除应按照相关规定向投资者履行信息披露义务外，还应至少提前一个工作日通过中国债券信息网（www.chinabond.com.cn
spdb1900	（二）本期债券发行办法和招标书，发行办法应至少包括招标方式、招标量、招标标的、中标确定方式、应急招投标方案和缴款方式等具体内容
spdb1907	['yes', '是']
spdb1908	['yes', '是']
spdb1909	公司财产全国银行债券市场债券交易集合计划专用债券账户账户名称公司全称加信托产品名称
spdb1910	['no', '不是']
spdb1917	基础资产池信用风险分析。
spdb1918	基础资产池信息披露投资者风险投资决策依据
spdb1919	基础资产池的总体特征。包括：贷款笔数、总本金余额、单笔贷款最高本金余额、单笔贷款平均本金余额、合同总金额、单笔贷款最高合同金额、单笔贷款平均合同金额、加权平均贷款年利率、单笔贷款最高年利率、加权平均贷款合同期限、加权平均
spdb1920	在信托合同有效期内
spdb1927	五个工作日内
spdb1928	根据《中华人民共和国中国人民银行法》、《中华人民共和国商业银行法》等有关法律、行政法规，制定本《同业拆借管理办法》。
spdb1929	['yes', '是']
spdb1930	['yes', '是']
spdb1937	三、进一步简化境内居民个人购汇手续，提高购汇限额，实行年度总额管理。在额度之内，个人凭真实身份证明在银行办理购汇并申报用途；银行对超过额度部分的个人购汇在审核相关凭证后按实际需求供汇。
spdb1938	三、进一步简化境内居民个人购汇手续，提高购汇限额，实行年度总额管理。在额度之内，个人凭真实身份证明在银行办理购汇并申报用途；银行对超过额度部分的个人购汇在审核相关凭证后按实际需求供汇。
spdb1939	六、拓展保险机构境外证券投资业务
spdb1940	四、拓展境内银行
spdb1947	中国外汇交易中心
spdb1948	（一） 非金融企业符合
spdb1949	['yes', '是']
spdb1950	3.保险公司注册资本金不低于10亿元人民币或等值外汇
spdb1957	六
spdb1958	三、混合资本债券可以公开发行，也可以定向发行。
spdb1959	五、混合资本债券公开发行和定向发行均应进行信用评级。
spdb1960	中国人民银行公告
spdb1967	五、本公告公布后，银行间即期外汇市场人民币对美元等货币交易价的浮动幅度和银行对客户美元挂牌汇价价差幅度仍按现行规定执行。
spdb1968	['yes', '是']
spdb1969	['yes', '是']
spdb1970	 为规范全国银行间债券市场金融债券发行行为，维护投资者合法权益，根据《中华人民共和国中国人民银行法》，制定《全国银行间债券市场金融债券发行管理办法》。
spdb1977	发行人未能在规定期限内完成发行的，原金融债券发行核准文件自动失效。
spdb1978	由同业中心负责披露的信息有： （一）市场报价信息; （二）市场成交和行情信息; （三）市场统计信息： 1.单只债券不同期限品种远期交易买入（或卖出）余额及其分别占市场远期交易买入（或
spdb1979	['yes', '是']
spdb1980	由同业中心和中央结算公司共同负责披露的信息有： （一）单只债券单日远期交易待交割量及其占该只债券市场流通量的比例，该比例超过5％的，向市场投资者公告该只债券名称和债券远期交易到期交割日期； （二）市场
spdb1987	远期交易标的债券券种应为已在全国银行间债券市场进行现券交易的中央政府债券、中央银行债券、金融债券和经中国人民银行批准的其他债券券种。
spdb1988	第四条　远期交易应遵循公开、公正、公平的原则。
spdb1989	['yes', '是']
spdb1990	　同业中心中央结算公司规定交易结算规则
spdb1997	第六条 市场参与者进行每笔买断式回购均应订立书面形式的合同，其书面形式包括全国银行间同业拆借中心（以下简称同业中心）交易系统生成的成交单，或者合同书、信件和数据电文等形式。
spdb1998	['no', '不是']
spdb1999	 价交易
spdb2000	第十一条 买断式回购的期限由交易双方确定，但最长不得超过91天。交易双方不得以任何方式延长回购期限。
spdb2007	['no', '不是']
spdb2008	第九条 投资者应当如实申报开户材料，不得采取虚假申报等手段规避投资者适当性标准要求。投资者提供虚假证明材料的，应当承担相应的责任。 投资者应当遵守“买卖自负”的原则，承担股指期货交易的履约责任，不得以不符合投资者适当性标准为由
spdb2009	违反投资者适当性制度要求，未能执行相关内控、合规制度的，中国证监会及其派出机构依据相关法律法规的规定，采取监管措施；情节严重的，根据《期货交易管理条例》第七十条进行处罚。
spdb2010	第十四条 期货公司和从事中间介绍业务的证券公司应当在其经营场所为投资者办理股指期货开户手续。
spdb2017	['yes', '是']
spdb2018	行政复议案件行政复议机构行政复议委员会审查行政复议委员会复议意见
spdb2019	2010年7月1日起
spdb2020	['no', '不是']
spdb2027	外商投资合伙企业外商投资合伙企业营业执照经营活动
spdb2028	　国家工商行政管理总局
spdb2029	['no', '不是']
spdb2030	第七条　外商投资合伙企业的登记事项包括： （一）名称； （二）主要经营场所； （三）执行事务合伙人； （四）经营范围； （五）合伙企业类型； （六）合伙人姓名或者名称、国家（地区）及住所
spdb2037	['no', '不是']
spdb2038	['yes', '是']
spdb2039	每年4月30日前
spdb2040	第十二条　人身保险公司披露的产品经营信息是指上一年度保费收入居前5位的保险产品经营情况
spdb2047	协会对基金评价业务进行检查时，可组织专家工作组进行专业评估，或聘请注册会计师等专业人员提供专业服务。
spdb2048	两年
spdb2049	中国证券业协会设立的基金评价业务专家工作组由中国证监会、协会、业内机构、学术研究机构的有关专家组成，由协会聘任，任期2年，可连续聘任。
spdb2050	评估咨询。
spdb2057	['yes', '是']
spdb2058	第八条　证券登记结算机构履行下列职能： （一）证券账户、结算账户的设立和管理； （二）证券的存管和过户； （三）证券持有人名册登记及权益登记； （四）证券和资金的清算交收及相关管理； （
spdb2059	第九条　证券登记结算机构不得从事下列活动： （一）与证券登记结算业务无关的投资； （二）购置非自用不动产； （三）在本办法第六十五条、第六十六条规定之外买卖证券； （四）法律、行政法规和中国证监会禁止的
spdb2060	第九条　证券登记结算机构不得从事下列活动：  （一）与证券登记结算业务无关的投资；  （二）购置非自用不动产；  （三）在本办法第六十五条、第六十六条规定之外买卖证券；  （四）法律、行政法规
spdb2067	第四条　从事基金评价业务，应当遵循下列原则： （一）长期性原则，即注重对基金的长期评价,培育和引导投资人的长期投资理念,不得以短期、频繁的基金评价结果误导投资人； （二）公正性原则，即保持中立地位，公平对待
spdb2068	机构基金评价业务活动监督管理证券业协会基金评价业务活动自律管理
spdb2069	['no', '不是']
spdb2070	为应对国际金融危机的冲击，贯彻落实党中央、国务院关于进一步扩大内需、促进经济增长的十项措施，认真执行积极的财政政策和适度宽松的货币政策，加大金融支持力度，促进经济平稳较快发展，经国务院批准，提出《国务院办公厅关于当前金融促进经济发展的若干意见》
spdb2077	《国务院办公厅关于当前金融促进经济发展的若干意见》加大对产业转移的信贷支持力度。
spdb2078	《关于非金融机构合格投资人债券交易有关事项的公告》所指报价商为非金融企业债务融资工具主承销商（简称“主承销商”）和银行间债券市场做市商。
spdb2079	 非金融机构通过非金融机构合格投资人交易平台开展交易业务前应向交易商协会备案。
spdb2080	一、 非金融机构通过非金融机构合格投资人交易平台开展交易业务前应向交易商协会备案。
spdb2087	['yes', '是']
spdb2088	['no', '不是']
spdb2089	第十四条   同业中心交易系统生成的成交单为交易双方达成的交易合同，约定交易双方、交易日期、债券品种、债券数量、交易价格或利率、结算方式、结算金额等交易要素。
spdb2090	加强银行间债券市场自律管理，规范市场参与者相关交易行为，有效防范市场风险，促进银行间债券市场健康发展，根据中国人民银行有关规定和《中国银行间市场交易商协会章程》，制定《银行间债券市场债券交易自律规则》。
spdb2097	第七条 法人机构投资者应完善治理结构，明晰前台、中台、后台业务分工，实现交易前台、中台与后台的有效隔离，保证岗位设置符合业务需要与风险管理需要。  中台风险控制人员应切实履行对前台交易的审核职能，发现明显偏离市场公允
spdb2098	第五条  申请加入中国银行间市场交易商协会员的机构应向协会提交下列材料： （一）入会申请书； （二）本单位章程； （三）营业执照副本、执业许可证副本或其他法定资格文件复印件； （四）最近一年度审计报告； （
spdb2099	第七条一名
spdb2100	['yes', '是']
spdb2107	第1号第二届第十次
spdb2108	中国人民银行中国人民银行中国银行间市场交易商协会人民银行
spdb2109	2015年5月11日
spdb2110	['no', '不是']
spdb2117	第十条  中国银行间市场交易商协会会员发生下列情形时，应自发生该情形之日起三十日内向协会提交相关书面变更说明： （一）变更名称、注册地、主要营业场所及联系方式； （二）变更法定代表人和主要负责人； （三）会员合并、分立、破产
spdb2118	['yes', '是']
spdb2119	第十九条  中国银行间市场交易商协会应根据市场评价的结果，对同一类会员进行分级管理。 协会应制定相应的措施，对市场评价结果优秀的会员参与银行间市场各项业务给予支持，对市场评价结果较差的会员参与银行间市场相关业务进行相应的限制。相关措施由协会另行制定。
spdb2120	为加强信用评级行业自律管理，推动评级机构有效开展调查访谈工作，提升信用评级工作质量和水平,制定《非金融企业债务融资工具信用评级业务调查访谈工作规程》。
spdb2127	响应国家“互联网+”计划，“华夏云缴费”着力解决“缴费方缴费难、收费方人工对账难”的问题，推出不受时间、地域限制，支持全天在线缴费的“华夏云缴费”产品，通过华夏银行与第三方信息服务公司合作的互联网云
spdb2128	华夏云缴费”目前已可支持20家银行跨行缴费，服务教育机构学杂费收缴、水电气热等公共事业缴费，市场管理方收租以及保障房租金、物业费、供暖费收取等领域。
spdb2129	['yes', '是']
spdb2130	['yes', '是']
spdb2137	73亿元36.03亿元
spdb2138	73亿元36.03亿元
spdb2139	17.39亿元
spdb2140	向总行追加绿色金融业务专项规模申请17.39亿元，占兴业银行全国系统申请该专项规模总金额的五分之一。
spdb2147	13.28亿元
spdb2148	['yes', '是']
spdb2149	0.37%0.54%0.52%0.21%0.02%0.02%
spdb2150	王女士
spdb2157	154个1202个
spdb2158	['yes', '是']
spdb2159	10条
spdb2160	为促进银信类业务健康发展，防范金融风险，近日，中国银监会发布《关于规范银信类业务的通知》（以下简称《通知》），对银信类业务进行规范。
spdb2167	中国人民银行 中国银行业监督管理委员会关于进一步完善差别化住房信贷政策有关问题的通知。为进一步改进住房金融服务，支持合理住房消费，经国务院同意，现就个人住房贷款政策有关事项通知如下：一、在不实施“限购”措施的城市，对居民家庭首次购买普通住房的商业性个人住房贷款，最低
spdb2168	为进一步改进住房金融服务
spdb2169	['yes', '是']
spdb2170	吴忠银监分局要求各机构坚持扶贫导向，立足市场需要，围绕富民惠农目标，创新扶贫模式，开展“一县一品一模式”。
spdb2177	1293户3123万元
spdb2178	重庆银监局
